usp_category,usp_class,usp_drug,kegg_id_drug,drug_example,kegg_id_drug_example,nomenclature
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen sodium,D09760,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Indomethacin,DG00241,Indomethacin,D00141,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Indomethacin,DG00241,Indomethacin sodium,D02110,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ketoprofen,DG00753,Ketoprofen,D00132,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ketoprofen,DG00753,Ketoprofen lysine,D08102,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ketoprofen,DG00753,Ketoprofen sodium,D08103,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ketorolac,DG00751,Ketorolac,D08104,(INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ketorolac,DG00751,Ketorolac tromethamine,D00813,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Meclofenamate,DG00758,Meclofenamic acid,D02341,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Meclofenamate,DG00758,Meclofenamate sodium,D00169,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Meclofenamate,DG00758,Meclofenamate sodium,D08162,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Mefenamic acid,,Mefenamic acid,D00151,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Meloxicam,,Meloxicam,D00969,(JAN/USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Nabumetone,,Nabumetone,D00425,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Naproxen,DG00455,Naproxen,D00118,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Naproxen,DG00455,Naproxen sodium,D00970,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Naproxen,DG00455,Naproxen etemesil,D10017,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Oxaprozin,,Oxaprozin,D00463,(JP17/USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Piroxicam,DG00752,Piroxicam,D00127,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Piroxicam,DG00752,Piroxicam betadex,D05511,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Piroxicam,DG00752,Piroxicam cinnamate,D05512,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Piroxicam,DG00752,Piroxicam olamine,D05513,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Sulindac,,Sulindac,D00120,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Tolmetin,DG00747,Tolmetin,D02355,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Tolmetin,DG00747,Tolmetin sodium,D00158,(JAN/USP)
Analgesics,"Opioid Analgesics, Long-acting",Hydromorphone,DG00811,Hydromorphone,D08047,(INN)
Analgesics,"Opioid Analgesics, Long-acting",Hydromorphone,DG00811,Hydromorphone hydrochloride,D00839,(JAN/USP)
Analgesics,"Opioid Analgesics, Long-acting",Fentanyl,DG00791,Fentanyl,D00320,(JAN/USAN/INN)
Analgesics,"Opioid Analgesics, Long-acting",Fentanyl,DG00791,Fentanyl citrate,D01399,(JP17/USP)
Analgesics,"Opioid Analgesics, Long-acting",Levorphanol,DG01341,Levorphanol,D08123,(INN)
Analgesics,"Opioid Analgesics, Long-acting",Levorphanol,DG01341,Levorphanol tartrate,D00841,(USP)
Analgesics,"Opioid Analgesics, Long-acting",Methadone,DG00999,Methadone,D08195,(BAN)
Analgesics,"Opioid Analgesics, Long-acting",Methadone,DG00999,Methadone hydrochloride,D02102,(JAN/USP)
Analgesics,"Opioid Analgesics, Long-acting",Morphine,DG00810,Morphine,D08233,(BAN)
Analgesics,"Opioid Analgesics, Long-acting",Morphine,DG00810,Morphine sulfate,D00842,(USP)
Analgesics,"Opioid Analgesics, Long-acting",Morphine,DG00810,Morphine hydrochloride hydrate,D02271,(JP17)
Analgesics,"Opioid Analgesics, Long-acting",Morphine,DG00810,Morphine tartrate,D08234,
Analgesics,"Opioid Analgesics, Long-acting",Oxycodone,DG00813,Oxycodone,D05312,(USAN/INN)
Analgesics,"Opioid Analgesics, Long-acting",Oxycodone,DG00813,Oxycodone hydrochloride,D00847,(USP)
Analgesics,"Opioid Analgesics, Long-acting",Oxycodone,DG00813,Compound oxycodone,D02175,(JP17)
Analgesics,"Opioid Analgesics, Long-acting",Oxycodone,DG00813,Oxycodone terephthalate,D03783,(USP)
Analgesics,"Opioid Analgesics, Long-acting",Oxycodone,DG00813,Oxycodone hydrochloride hydrate,D05462,(JP17)
Analgesics,"Opioid Analgesics, Long-acting",Oxymorphone,DG01343,Oxymorphone,D08323,(INN)
Analgesics,"Opioid Analgesics, Long-acting",Oxymorphone,DG01343,Oxymorphone hydrochloride,D00844,(USP)
Analgesics,"Opioid Analgesics, Long-acting",Tramadol,DG00824,Tramadol,D08623,(INN)
Analgesics,"Opioid Analgesics, Long-acting",Tramadol,DG00824,Tramadol hydrochloride,D01355,(JAN/USAN)
Analgesics,"Opioid Analgesics, Short-acting",Butorphanol,DG00821,Butorphanol,D03197,(USAN/INN)
Analgesics,"Opioid Analgesics, Short-acting",Butorphanol,DG00821,Butorphanol tartrate,D00837,(JAN/USP)
Analgesics,"Opioid Analgesics, Short-acting",Codeine,DG01076,Codeine,D00195,(USP)
Analgesics,"Opioid Analgesics, Short-acting",Codeine,DG01076,Codeine phosphate,D02101,(USP)
Analgesics,"Opioid Analgesics, Short-acting",Codeine,DG01076,Codeine polistirex,D03579,(USAN)
Analgesics,"Opioid Analgesics, Short-acting",Codeine,DG01076,Codeine sulfate,D03580,(USP)
Analgesics,"Opioid Analgesics, Short-acting",Codeine,DG01076,Codeine hydrochloride,D07740,
Analgesics,"Opioid Analgesics, Short-acting",Fentanyl,DG00791,Fentanyl,D00320,(JAN/USAN/INN)
Analgesics,"Opioid Analgesics, Short-acting",Fentanyl,DG00791,Fentanyl citrate,D01399,(JP17/USP)
Analgesics,"Opioid Analgesics, Short-acting",Hydromorphone,DG00811,Hydromorphone,D08047,(INN)
Analgesics,"Opioid Analgesics, Short-acting",Hydromorphone,DG00811,Hydromorphone hydrochloride,D00839,(JAN/USP)
Analgesics,"Opioid Analgesics, Short-acting",Meperidine,DG00816,Pethidine,D08343,(INN)
Analgesics,"Opioid Analgesics, Short-acting",Meperidine,DG00816,Meperidine hydrochloride,D01383,(USP)
Analgesics,"Opioid Analgesics, Short-acting",Nalbuphine,DG00822,Nalbuphine,D08246,(INN)
Analgesics,"Opioid Analgesics, Short-acting",Nalbuphine,DG00822,Nalbuphine hydrochloride,D00843,(USAN)
Analgesics,"Opioid Analgesics, Short-acting",Oxycodone,DG00813,Oxycodone,D05312,(USAN/INN)
Analgesics,"Opioid Analgesics, Short-acting",Oxycodone,DG00813,Oxycodone hydrochloride,D00847,(USP)
Analgesics,"Opioid Analgesics, Short-acting",Oxycodone,DG00813,Compound oxycodone,D02175,(JP17)
Analgesics,"Opioid Analgesics, Short-acting",Oxycodone,DG00813,Oxycodone terephthalate,D03783,(USP)
Analgesics,"Opioid Analgesics, Short-acting",Oxycodone,DG00813,Oxycodone hydrochloride hydrate,D05462,(JP17)
Analgesics,"Opioid Analgesics, Short-acting",Oxymorphone,DG01343,Oxymorphone,D08323,(INN)
Analgesics,"Opioid Analgesics, Short-acting",Oxymorphone,DG01343,Oxymorphone hydrochloride,D00844,(USP)
Analgesics,"Opioid Analgesics, Short-acting",Pentazocine,DG00819,Pentazocine,D00498,(JP17/USP/INN)
Analgesics,"Opioid Analgesics, Short-acting",Pentazocine,DG00819,Pentazocine lactate,D02111,(USP)
Analgesics,"Opioid Analgesics, Short-acting",Pentazocine,DG00819,Pentazocine hydrochloride,D02227,(JAN/USP)
Analgesics,"Opioid Analgesics, Short-acting",Tapentadol,DG00826,Tapentadol,D06007,(USAN/INN)
Analgesics,"Opioid Analgesics, Short-acting",Tapentadol,DG00826,Tapentadol hydrochloride,D10199,(JAN)
Analgesics,"Opioid Analgesics, Short-acting",Tramadol,DG00824,Tramadol,D08623,(INN)
Analgesics,"Opioid Analgesics, Short-acting",Tramadol,DG00824,Tramadol hydrochloride,D01355,(JAN/USAN)
Anesthetics,Local Anesthetics,Lidocaine,DG00196,Lidocaine,D00358,(JP17/USP/INN)
Anesthetics,Local Anesthetics,Lidocaine,DG00196,Lidocaine hydrochloride,D02086,(JAN/USP)
Anesthetics,Local Anesthetics,Lidocaine,DG00196,Lidocaine hydrochloride monohydrate,D08127,
Anesthetics,Local Anesthetics,Lidocaine and Prilocaine,,Lidocaine - prilocaine mixt,D02740,
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,Acamprosate,DG00996,Acamprosate,D07058,(INN)
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,Acamprosate,DG00996,Acamprosate calcium,D02780,(JAN/USAN)
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,Disulfiram,,Disulfiram,D00131,(JP17/USP/INN)
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,Naltrexone,DG00997,Naltrexone,D05113,(USAN/INN)
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,Naltrexone,DG00997,Naltrexone hydrochloride,D02095,(USP)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,Buprenorphine,DG00820,Buprenorphine,D07132,(JAN/INN)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,Buprenorphine,DG00820,Buprenorphine hydrochloride,D00836,(JP17/USP)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,Buprenorphine/Naloxone,,Buprenorphine - naloxone mixt,D10250,
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,Naltrexone,DG00997,Naltrexone,D05113,(USAN/INN)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,Naltrexone,DG00997,Naltrexone hydrochloride,D02095,(USP)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Reversal Agents,Naloxone,DG01155,Naloxone,D08249,(INN)
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Reversal Agents,Naloxone,DG01155,Naloxone hydrochloride,D01340,(JP17/USP)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,Bupropion,DG00957,Bupropion,D07591,(INN)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,Bupropion,DG00957,Bupropion hydrochloride,D00817,(JAN/USP)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,Bupropion,DG00957,Bupropion hydrobromide,D07938,(USAN)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,Nicotine,DG00994,Nicotine,D03365,(USP)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,Nicotine,DG00994,Nicotine bitartrate,D05156,(USAN)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,Nicotine,DG00994,Nicotine polacrilex,D05157,(USAN)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,Varenicline,DG00995,Varenicline,D08669,(INN)
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,Varenicline,DG00995,Varenicline tartrate,D06282,(JAN/USAN)
Antibacterials,Aminoglycosides,Amikacin,DG00403,Amikacin,D02543,(USP/INN)
Antibacterials,Aminoglycosides,Amikacin,DG00403,Amikacin sulfate,D00865,(JP17/USP)
Antibacterials,Aminoglycosides,Gentamicin,DG00401,Gentamicin,D08013,(BAN)
Antibacterials,Aminoglycosides,Gentamicin,DG00401,Gentamicin sulfate,D01063,(JP17/USP)
Antibacterials,Aminoglycosides,Kanamycin,DG00085,Kanamycin sulfate,D00866,(USP)
Antibacterials,Aminoglycosides,Kanamycin,DG00085,Kanamycin sulfate,D03262,(JP17)
Antibacterials,Aminoglycosides,Neomycin,DG00003,Neomycin,D08260,(INN)
Antibacterials,Aminoglycosides,Neomycin,DG00003,Neomycin sulfate,D01618,(USP)
Antibacterials,Aminoglycosides,Neomycin,DG00003,Neomycin palmitate,D05141,(USAN)
Antibacterials,Aminoglycosides,Neomycin,DG00003,Neomycin undecylenate,D05142,(USAN)
Antibacterials,Aminoglycosides,Paromomycin,DG00084,Paromomycin,D07467,(INN)
Antibacterials,Aminoglycosides,Paromomycin,DG00084,Paromomycin sulfate,D00868,(JAN/USP)
Antibacterials,Aminoglycosides,Streptomycin,DG00082,Streptomycin,D08531,(INN)
Antibacterials,Aminoglycosides,Streptomycin,DG00082,Streptomycin sulfate,D01350,(JP17/USP)
Antibacterials,Aminoglycosides,Tobramycin,DG00608,Tobramycin,D00063,(JP17/USP)
Antibacterials,Aminoglycosides,Tobramycin,DG00608,Tobramycin sulfate,D02542,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefadroxil,DG00551,Cefadroxil,D00257,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",Cefadroxil,DG00551,Cefadroxil,D02353,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefazolin,DG00550,Cefazolin,D02299,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefazolin,DG00550,Cefazolin sodium,D00905,(JP17/USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefazolin,DG00550,Cefazolin sodium hydrate,D02226,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",Cephalexin,DG00548,Cefalexin,D00263,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",Cephalexin,DG00548,Cephalexin,D00906,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cephalexin,DG00548,Cephalexin hydrochloride,D03438,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefaclor,DG00560,Cefaclor,D00256,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",Cefaclor,DG00560,Cefaclor,D02352,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefoxitin,DG00557,Cefoxitin,D02345,(USAN/INN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefoxitin,DG00557,Cefoxitin sodium,D00913,(JAN/USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefprozil,DG00566,Cefprozil,D07651,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefprozil,DG00566,Cefprozil,D00261,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefuroxime,DG00558,Cefuroxime,D00262,(USAN/INN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefuroxime,DG00558,Cefuroxime axetil,D00914,(JP17/USP/INN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefuroxime,DG00558,Cefuroxime sodium,D00915,(JAN/USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefuroxime,DG00558,Cefuroxime pivoxetil,D03431,(USAN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefdinir,,Cefdinir,D00917,(JP17/USAN/INN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefditoren,DG00584,Cefditoren,D07639,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefditoren,DG00584,Cefditoren pivoxil,D01628,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",Cefixime,DG00577,Cefixime,D00258,(JAN/USP/INN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefixime,DG00577,Cefixime hydrate,D07640,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",Cefotaxime,DG00570,Cefotaxime,D07647,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefotaxime,DG00570,Cefotaxime sodium,D00919,(JP17/USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefpodoxime,DG00582,Cefpodoxime,D07650,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefpodoxime,DG00582,Cefpodoxime proxetil,D00920,(JP17/USP)
Antibacterials,"Beta-lactam, Cephalosporins",Ceftazidime,DG00571,Ceftazidime,D07654,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",Ceftazidime,DG00571,Ceftazidime,D00921,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",Ceftibuten,DG00583,Ceftibuten,D00922,(USAN/INN)
Antibacterials,"Beta-lactam, Cephalosporins",Ceftibuten,DG00583,Ceftibuten hydrate,D02121,(JP17)
Antibacterials,"Beta-lactam, Cephalosporins",Ceftriaxone,DG00573,Ceftriaxone,D07659,(INN)
Antibacterials,"Beta-lactam, Cephalosporins",Ceftriaxone,DG00573,Ceftriaxone sodium,D00924,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",Cefepime,DG00586,Cefepime,D02376,(USAN/INN)
Antibacterials,"Beta-lactam, Cephalosporins",Cefepime,DG00586,Cefepime hydrochloride,D01157,(USP)
Antibacterials,"Beta-lactam, Cephalosporins",Ceftaroline,,Ceftaroline fosamil,D08884,(USAN/INN)
Antibacterials,"Beta-lactam, Penicillins",Amoxicillin,DG00520,Amoxicillin,D07452,(INN)
Antibacterials,"Beta-lactam, Penicillins",Amoxicillin,DG00520,Amoxicillin,D00229,(USP)
Antibacterials,"Beta-lactam, Penicillins",Amoxicillin,DG00520,Amoxicillin sodium,D02925,(USAN)
Antibacterials,"Beta-lactam, Penicillins",Amoxicillin and Clavulanate Potassium,,Amoxicillin - potassium clavulanate combination,D00230,
Antibacterials,"Beta-lactam, Penicillins",Ampicillin,DG00517,Ampicillin,D00204,(USP/INN)
Antibacterials,"Beta-lactam, Penicillins",Ampicillin,DG00517,Ampicillin hydrate,D01251,(JP17)
Antibacterials,"Beta-lactam, Penicillins",Ampicillin,DG00517,Ampicillin sodium,D02119,(JP17/USP)
Antibacterials,"Beta-lactam, Penicillins",Ampicillin,DG00517,Ampicillin benzathine,D07570,
Antibacterials,"Beta-lactam, Penicillins",Ampicillin Sodium and Sulbactam Sodium,,Ampicillin sodium and sulbactam sodium for injection,D02065,(JP17)
Antibacterials,"Beta-lactam, Penicillins",Piperacillin,DG00526,Piperacillin,D08380,(INN)
Antibacterials,"Beta-lactam, Penicillins",Piperacillin,DG00526,Piperacillin sodium,D00466,(JP17/USP)
Antibacterials,"Beta-lactam, Penicillins",Piperacillin,DG00526,Piperacillin,D02251,(USP)
Antibacterials,"Beta-lactam, Penicillins",Penicillin G,DG00534,Benzylpenicillin,D02336,(INN)
Antibacterials,"Beta-lactam, Penicillins",Penicillin G,DG00534,Penicillin G potassium,D01053,(USP)
Antibacterials,"Beta-lactam, Penicillins",Penicillin G,DG00534,Penicillin G benzathine,D02157,(USP)
Antibacterials,"Beta-lactam, Penicillins",Penicillin G,DG00534,Penicillin G procaine,D02461,(USP)
Antibacterials,"Beta-lactam, Penicillins",Penicillin G,DG00534,Penicillin G sodium,D05408,(USP)
Antibacterials,"Beta-lactam, Penicillins",Penicillin G,DG00534,Clemizole penicillin,D07712,(INN)
Antibacterials,"Beta-lactam, Penicillins",Penicillin V,DG00535,Penicillin V,D05411,(USP)
Antibacterials,"Beta-lactam, Penicillins",Penicillin V,DG00535,Penicillin V potassium,D00497,(USP)
Antibacterials,"Beta-lactam, Penicillins",Penicillin V,DG00535,Penicillin V benzathine,D02405,(USP)
Antibacterials,"Beta-lactam, Penicillins",Penicillin V,DG00535,Phenoxymethylpenicillin benzathine,D02506,(JAN)
Antibacterials,"Beta-lactam, Penicillins",Penicillin V,DG00535,Penicillin V hydrabamine,D05413,(USP)
Antibacterials,"Beta-lactam, Penicillins",Penicillin V,DG00535,Phenoxymethylpenicillin calcium,D08360,
Antibacterials,"Beta-lactam, Penicillins",Dicloxacillin,DG00540,Dicloxacillin,D02348,(USAN/INN)
Antibacterials,"Beta-lactam, Penicillins",Dicloxacillin,DG00540,Dicloxacillin sodium,D02137,(USP)
Antibacterials,"Beta-lactam, Penicillins",Nafcillin,DG00544,Nafcillin,D08242,(INN)
Antibacterials,"Beta-lactam, Penicillins",Nafcillin,DG00544,Nafcillin sodium,D00928,(USP)
Antibacterials,"Beta-lactam, Penicillins",Oxacillin,DG00542,Oxacillin,D08307,(INN)
Antibacterials,"Beta-lactam, Penicillins",Oxacillin,DG00542,Oxacillin sodium,D00929,(JAN/USP)
Antibacterials,"Beta-lactam, Other",Aztreonam,DG00589,Aztreonam,D00240,(JP17/USP/INN)
Antibacterials,"Beta-lactam, Other",Aztreonam,DG00589,Aztreonam lysine,D06558,(USAN)
Antibacterials,"Beta-lactam, Other",Doripenem,DG00593,Doripenem,D03895,(USAN/INN)
Antibacterials,"Beta-lactam, Other",Doripenem,DG00593,Doripenem hydrate,D01836,(JAN)
Antibacterials,"Beta-lactam, Other",Ertapenem,DG00592,Ertapenem,D07908,(INN)
Antibacterials,"Beta-lactam, Other",Ertapenem,DG00592,Ertapenem sodium,D04049,(USAN)
Antibacterials,"Beta-lactam, Other",Imipenem and Cilastatin Sodium,,Imipenem hydrate - cilastatin sodium,D00344,(JP17)
Antibacterials,"Beta-lactam, Other",Meropenem,DG00591,Meropenem,D08185,(INN)
Antibacterials,"Beta-lactam, Other",Meropenem,DG00591,Meropenem,D02222,(USP)
Antibacterials,Macrolides,Azithromycin,DG00606,Azithromycin,D07486,(INN)
Antibacterials,Macrolides,Azithromycin,DG00606,Azithromycin hydrate,D02134,(JP17)
Antibacterials,Macrolides,Azithromycin,DG00606,Azithromycin,D06390,(USP)
Antibacterials,Macrolides,Clarithromycin,DG00605,Clarithromycin,D00276,(JP17/USP/INN)
Antibacterials,Macrolides,Clarithromycin,DG00605,Clarithromycin lactobionate,D07710,
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin,D00140,(JP17/USP/INN)
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin estolate,D00851,(USP)
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin ethylsuccinate,D01361,(JP17/USP)
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin lactobionate,D02009,(JP17/USP)
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin stearate,D02184,(JP17/USP)
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin acistrate,D02523,(USAN)
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin gluceptate,D02524,(USP)
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin propionate,D02525,(USAN)
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin salnacedin,D04054,(USAN)
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin thiocyanate,D07909,
Antibacterials,Macrolides,Erythromycin,DG00436,Erythromycin stinoprate,D07910,(INN)
Antibacterials,Macrolides,Fidaxomicin,,Fidaxomicin,D09394,(JAN/USAN)
Antibacterials,Macrolides,Telithromycin,,Telithromycin,D01078,(JAN/USAN/INN)
Antibacterials,Quinolones,Besifloxacin,,Besifloxacin hydrochloride,D08872,(USAN)
Antibacterials,Quinolones,Ciprofloxacin,DG00617,Ciprofloxacin,D00186,(JP17/USP/INN)
Antibacterials,Quinolones,Ciprofloxacin,DG00617,Ciprofloxacin hydrochloride,D02216,(USP)
Antibacterials,Quinolones,Ciprofloxacin,DG00617,Ciprofloxacin lactate,D07702,
Antibacterials,Quinolones,Gatifloxacin,DG00628,Gatifloxacin,D08011,(INN)
Antibacterials,Quinolones,Gatifloxacin,DG00628,Gatifloxacin,D00589,(USAN)
Antibacterials,Quinolones,Gemifloxacin,DG00627,Gemifloxacin,D08012,(INN)
Antibacterials,Quinolones,Gemifloxacin,DG00627,Gemifloxacin mesylate,D02471,(USAN)
Antibacterials,Quinolones,Levofloxacin,DG00624,Levofloxacin,D08120,(INN)
Antibacterials,Quinolones,Levofloxacin,DG00624,Levofloxacin,D00588,(USAN)
Antibacterials,Quinolones,Moxifloxacin,DG00626,Moxifloxacin,D08237,(INN)
Antibacterials,Quinolones,Moxifloxacin,DG00626,Moxifloxacin hydrochloride,D00874,(JAN/USAN)
Antibacterials,Quinolones,Norfloxacin,DG00620,Norfloxacin,D00210,(JP17/USP/INN)
Antibacterials,Quinolones,Norfloxacin,DG00620,Norfloxacin nicotinate,D08287,
Antibacterials,Quinolones,Ofloxacin,DG00616,Ofloxacin,D00453,(JP17/USP/INN)
Antibacterials,Quinolones,Ofloxacin,DG00616,Ofloxacin hydrochloride,D08291,
Antibacterials,Sulfonamides,Sulfacetamide,DG01124,Sulfacetamide,D05947,(USP/INN)
Antibacterials,Sulfonamides,Sulfacetamide,DG01124,Sulfacetamide sodium,D00871,(USP)
Antibacterials,Sulfonamides,Sulfadiazine,DG00599,Sulfadiazine,D00587,(JAN/USP/INN)
Antibacterials,Sulfonamides,Sulfadiazine,DG00599,Sulfadiazine sodium,D05949,(USP)
